sku,nombre,imagen,precio,frecuencia,inventario_tipo,categoria,existencias,descripcion,precio_original,modelo_caja,descuento,tamano_altavoz,caracteristicas
"CN-001","Cigarros Marlboro Rojo (20)","assets/img/cigarros-1024x576.webp","80","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","108","CN-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-002","Cigarros Camel Filter (20)","assets/img/cigarros-1024x576.webp","78","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","105","CN-002","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-003","Cigarros Benson & Hedges (20)","assets/img/cigarros-1024x576.webp","82","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","110","CN-003","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-004","Cigarros Pall Mall Rojo (20)","assets/img/cigarros-1024x576.webp","75","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","101","CN-004","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-005","Cigarros Delicados Ovalados (20)","assets/img/cigarros-1024x576.webp","72","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","97","CN-005","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-006","Cigarros Chesterfield Red (20)","assets/img/cigarros-1024x576.webp","70","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","94","CN-006","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-007","Cigarros Lucky Strike Red (20)","assets/img/cigarros-1024x576.webp","76","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","102","CN-007","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-008","Cigarros Marlboro White (20)","assets/img/cigarros-1024x576.webp","80","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","108","CN-008","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-009","Cigarros Camel Light (20)","assets/img/cigarros-1024x576.webp","78","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","105","CN-009","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-010","Cigarros Benson Blue (20)","assets/img/cigarros-1024x576.webp","82","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","110","CN-010","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-011","Cigarros Pall Mall Blue (20)","assets/img/cigarros-1024x576.webp","75","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","101","CN-011","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-012","Cigarros Chesterfield Blue (20)","assets/img/cigarros-1024x576.webp","70","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","94","CN-012","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-013","Cigarros Lucky Strike Blue (20)","assets/img/cigarros-1024x576.webp","76","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","102","CN-013","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-014","Cigarros Marlboro Pocket (14)","assets/img/cigarros-1024x576.webp","62","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","83","CN-014","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-015","Cigarros Camel Pocket (14)","assets/img/cigarros-1024x576.webp","60","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","81","CN-015","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-016","Cigarros Pall Mall Pocket (14)","assets/img/cigarros-1024x576.webp","58","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","78","CN-016","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-017","Cigarros Chesterfield Pocket (14)","assets/img/cigarros-1024x576.webp","55","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","74","CN-017","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-018","Cigarros Lucky Strike Pocket (14)","assets/img/cigarros-1024x576.webp","58","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","78","CN-018","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-019","Cigarros Delicados con Filtro (20)","assets/img/cigarros-1024x576.webp","72","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","97","CN-019","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CN-020","Cigarros Winston Red (20)","assets/img/cigarros-1024x576.webp","74","Inmediato","Outlet","cigarros-nacionales","12","Producto premium de la categoría Cigarros Nacionales en liquidación y oferta.","99","CN-020","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CI-001","Cigarros Dunhill International","assets/img/cigarros-1024x576.webp","120","Inmediato","Outlet","cigarros-importados","12","Producto premium de la categoría Cigarros Importados en liquidación y oferta.","162","CI-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
